Month,Lookback_Days,total_expected_return,portfolio_risk,stock,weight,allocations
2021-01,90,838.4610874178002,7.876333629962525,"['AGRO.JK', 'BRIS.JK', 'FIRE.JK']","[0.0, 0.1, 0.9]","AGRO.JK: 0.00%, BRIS.JK: 0.10%, FIRE.JK: 0.90%"
2021-02,90,1173.2494969818913,7.550460242146634,"['BBHI.JK', 'DCII.JK']","[0.1, 0.9]","BBHI.JK: 0.10%, DCII.JK: 0.90%"
2021-03,90,2142.476875642343,7.900585228914895,"['BANK.JK', 'DCII.JK']","[0.1, 0.9]","BANK.JK: 0.10%, DCII.JK: 0.90%"
2021-04,90,1894.933196300103,8.30462526794272,"['BANK.JK', 'DCII.JK']","[0.1, 0.9]","BANK.JK: 0.10%, DCII.JK: 0.90%"
2021-05,90,2360.431093656809,9.172138645354131,"['BANK.JK', 'DCII.JK']","[1.0, 0.0]","BANK.JK: 1.00%, DCII.JK: 0.00%"
2021-06,90,2187.7697841726617,9.175885332853078,['BANK.JK'],[1.0],BANK.JK: 1.00%
2021-07,90,1197.737313432836,9.49528491680256,"['BABP.JK', 'ZBRA.JK']","[0.1, 0.9]","BABP.JK: 0.10%, ZBRA.JK: 0.90%"
2021-08,90,579.613885525437,19.999986674734878,"['BINA.JK', 'BYAN.JK', 'DMMX.JK', 'TFAS.JK', 'TRUE.JK']","[0.1, 0.38, 0.0, 0.52, 0.0]","BINA.JK: 0.10%, BYAN.JK: 0.38%, DMMX.JK: 0.00%, TFAS.JK: 0.52%, TRUE.JK: 0.00%"
2021-09,90,1258.5940803382664,8.461565720925542,"['BABP.JK', 'PEGE.JK']","[0.1, 0.9]","BABP.JK: 0.10%, PEGE.JK: 0.90%"
2021-10,90,997.202507668115,19.999999417395134,"['BBHI.JK', 'BBYB.JK', 'BYAN.JK', 'PEGE.JK']","[0.0, 0.1, 0.37, 0.53]","BBHI.JK: 0.00%, BBYB.JK: 0.10%, BYAN.JK: 0.37%, PEGE.JK: 0.53%"
2021-11,90,1129.5657852576517,7.894920560666588,"['BBYB.JK', 'PANI.JK']","[0.1, 0.9]","BBYB.JK: 0.10%, PANI.JK: 0.90%"
2021-12,90,762.9240633139652,7.274747193483617,"['BBYB.JK', 'BEBS.JK']","[0.1, 0.9]","BBYB.JK: 0.10%, BEBS.JK: 0.90%"
