period,datapoints,assets,allocations,allocations_idr,pnl_percentage,pnl_idr,end_of_period_value
2022-01,30.0,AMAR.JK,0.1,10000000.0,33.33,3333333.33,13333333.33
2022-01,30.0,BBYB.JK,0.0,0.0,0,-0.0,0.0
2022-01,30.0,MSIN.JK,0.9,90000000.0,33.06,29758064.52,119758064.52
2022-02,30.0,ADMR.JK,0.9,119782258.06,5.49,6570334.83,126352592.89
2022-02,30.0,BBSI.JK,0.1,13309139.78,0.0,0.0,13309139.78
2022-03,30.0,BABP.JK,0.1,13966173.27,0.52,71990.58,14038163.85
2022-03,30.0,BCAP.JK,0.9,125695559.41,4.48,5628159.38,131323718.78999999
2022-04,30.0,BNGA.JK,0.1,14536188.26,-5.75,-836152.42,13700035.84
2022-04,30.0,UFOE.JK,0.9,130825694.38,-50.84,-66507622.88,64318071.49999999
2022-05,30.0,BBHI.JK,0.0,0.0,0,-0.0,0.0
2022-05,30.0,PNBN.JK,0.1,7801810.73,19.9,1552599.15,9354409.88
2022-05,30.0,WIRG.JK,0.9,70216296.61,-21.46,-15070814.88,55145481.73
2022-06,30.0,BELL.JK,0.9,58049902.45,58.73,34092799.85,92142702.30000001
2022-06,30.0,PNBN.JK,0.1,6449989.16,23.36,1506566.81,7956555.970000001
2022-07,30.0,BMSR.JK,0.9,90089332.44,-4.49,-4048958.76,86040373.67999999
2022-07,30.0,PNBN.JK,0.1,10009925.83,12.23,1223784.04,11233709.870000001
2022-08,30.0,BBYB.JK,0.1,9727408.36,-9.59,-933256.89,8794151.469999999
2022-08,30.0,BNBA.JK,0.0,0.0,0,-0.0,0.0
2022-08,30.0,PANI.JK,0.9,87546675.2,111.81,97883363.08,185430038.28
2022-09,30.0,HATM.JK,0.9,174801770.77,-15.42,-26955413.25,147846357.52
2022-09,30.0,NOBU.JK,0.1,19422418.97,-12.6,-2446918.93,16975500.04
2022-10,30.0,BBSI.JK,0.0,0.0,0,0.0,0.0
2022-10,30.0,COAL.JK,0.9,148339671.8,-42.44,-62953909.5,85385762.30000001
2022-10,30.0,MEGA.JK,0.1,16482185.76,-3.12,-515068.3,15967117.459999999
2022-11,30.0,AMAR.JK,0.1,10135287.98,22.29,2259459.1,12394747.08
2022-11,30.0,BDMN.JK,0.0,0.0,0,-0.0,0.0
2022-11,30.0,SRAJ.JK,0.9,91217591.78,60.19,54907676.61,146125268.39
2022-12,30.0,AMAR.JK,0.0,0.0,0,-0.0,0.0
2022-12,30.0,BSIM.JK,0.1,15852001.55,-1.17,-185403.53,15666598.020000001
2022-12,30.0,SRAJ.JK,0.9,142668013.92,-5.07,-7236783.31,135431230.60999998
2022-01,60.0,BNBA.JK,0.1,10000000.0,-15.09,-1509433.96,8490566.04
2022-01,60.0,PANI.JK,0.9,90000000.0,-17.91,-16116279.07,73883720.93
2022-02,60.0,ADMR.JK,0.9,74136858.27,5.49,4066578.72,78203436.99
2022-02,60.0,AMAR.JK,0.1,8237428.7,-33.33,-2745809.57,5491619.130000001
2022-03,60.0,BBSI.JK,0.1,8369505.61,-0.47,-39109.84,8330395.7700000005
2022-03,60.0,MEGA.JK,0.0,0.0,0,0.0,0.0
2022-03,60.0,MSIN.JK,0.9,75325550.51,-1.78,-1339120.9,73986429.61
2022-04,60.0,ADMR.JK,0.9,74085142.84,21.33,15804830.47,89889973.31
2022-04,60.0,BBHI.JK,0.0,0.0,0,0.0,0.0
2022-04,60.0,BBNI.JK,0.0,0.0,0,0.0,0.0
2022-04,60.0,BBSI.JK,0.1,8231682.54,-6.1,-502403.16,7729279.38
2022-05,60.0,PNBN.JK,0.1,9761925.27,19.9,1942671.7,11704596.969999999
2022-05,60.0,WIRG.JK,0.9,87857327.42,-21.46,-18857182.47,69000144.95
2022-06,60.0,BELL.JK,0.9,72634267.73,58.73,42658220.73,115292488.46000001
2022-06,60.0,PNBN.JK,0.1,8070474.19,23.36,1885074.26,9955548.450000001
2022-07,60.0,BELL.JK,0.9,112723233.22,-47.83,-53911111.54,58812121.68
2022-07,60.0,PNBN.JK,0.1,12524803.69,12.23,1531245.59,14056049.28
2022-08,60.0,PNBN.JK,0.1,7286817.1,7.26,528881.89,7815698.989999999
2022-08,60.0,RAJA.JK,0.9,65581353.86,-5.67,-3718099.45,61863254.41
2022-09,60.0,OKAS.JK,0.9,62711058.06,11.61,7282574.48,69993632.54
2022-09,60.0,PNBN.JK,0.1,6967895.34,7.04,490203.69,7458099.03
2022-10,60.0,BMRI.JK,0.1,7745173.16,13.75,1064700.35,8809873.51
2022-10,60.0,PICO.JK,0.9,69706558.41,-27.03,-18839610.38,50866948.03
2022-11,60.0,BDMN.JK,0.0,0.0,0,-0.0,0.0
2022-11,60.0,ETWA.JK,0.9,53709139.39,9.17,4927443.98,58636583.370000005
2022-11,60.0,PNBN.JK,0.1,5967682.15,-15.18,-905808.9,5061873.25
2022-12,60.0,AMAR.JK,0.1,6369845.66,-32.49,-2069402.77,4300442.890000001
2022-12,60.0,SINI.JK,0.9,57328610.96,7.8,4474428.17,61803039.13
2022-01,90.0,BNBA.JK,0.1,10000000.0,-15.09,-1509433.96,8490566.04
2022-01,90.0,PANI.JK,0.9,90000000.0,-17.91,-16116279.07,73883720.93
2022-02,90.0,ADMR.JK,0.9,74136858.27,5.49,4066578.72,78203436.99
2022-02,90.0,BNBA.JK,0.1,8237428.7,-3.77,-310314.09,7927114.61
2022-03,90.0,BNBA.JK,0.1,8613055.16,-4.98,-429120.19,8183934.97
2022-03,90.0,MSIN.JK,0.9,77517496.44,-1.78,-1378088.83,76139407.61
2022-04,90.0,ADMR.JK,0.9,75891008.32,21.33,16190081.77,92081090.08999999
2022-04,90.0,AMAR.JK,0.1,8432334.26,1.52,127762.64,8560096.9
2022-05,90.0,ADMR.JK,0.9,90577068.29,-15.21,-13775979.97,76801088.32000001
2022-05,90.0,BBNI.JK,0.1,10064118.7,3.97,399143.52,10463262.219999999
2022-05,90.0,PNBN.JK,0.0,0.0,0,0.0,0.0
2022-06,90.0,PNBN.JK,0.1,8726435.05,23.36,2038291.4,10764726.450000001
2022-06,90.0,SMMT.JK,0.9,78537915.49,-26.46,-20779089.75,57758825.739999995
2022-07,90.0,BELL.JK,0.9,61671196.97,-47.83,-29494920.29,32176276.68
2022-07,90.0,PNBN.JK,0.1,6852355.22,12.23,837748.76,7690103.9799999995
2022-08,90.0,PNBN.JK,0.1,3986638.07,7.26,289352.76,4275990.83
2022-08,90.0,RAJA.JK,0.9,35879742.59,-5.67,-2034182.64,33845559.95
2022-09,90.0,PNBN.JK,0.1,3812155.08,7.04,268191.81,4080346.89
2022-09,90.0,RAJA.JK,0.9,34309395.7,13.04,4475155.0,38784550.7
2022-10,90.0,OBMD.JK,0.9,38578407.83,-38.5,-14851781.42,23726626.409999996
2022-10,90.0,PNBN.JK,0.1,4286489.76,11.11,476276.64,4762766.399999999
2022-11,90.0,BDMN.JK,0.1,2848939.28,-7.65,-217808.81,2631130.4699999997
2022-11,90.0,ETWA.JK,0.9,25640453.53,9.17,2352335.19,27992788.720000003
2022-12,90.0,BSIM.JK,0.1,3062391.92,-1.17,-35817.45,3026574.4699999997
2022-12,90.0,KRYA.JK,0.9,27561527.27,-5.55,-1530964.84,26030562.43
2022-01,180.0,BBYB.JK,0.1,10000000.0,-24.9,-2490272.37,7509727.63
2022-01,180.0,MSIN.JK,0.9,90000000.0,33.06,29758064.52,119758064.52
2022-02,180.0,BBYB.JK,0.1,12726779.22,10.38,1320703.5,14047482.72
2022-02,180.0,MSIN.JK,0.9,114541012.94,67.62,77454667.78,191995680.72
2022-03,180.0,BBYB.JK,0.1,20604316.34,-4.7,-968578.97,19635737.37
2022-03,180.0,PANI.JK,0.9,185438847.09,-24.44,-45329495.96,140109351.13
2022-04,180.0,BBYB.JK,0.1,15974508.85,-23.52,-3756562.58,12217946.27
2022-04,180.0,PANI.JK,0.9,143770579.65,-2.07,-2974563.72,140796015.93
2022-05,180.0,ADMR.JK,0.9,137712565.98,-15.21,-20944876.96,116767689.01999998
2022-05,180.0,BBHI.JK,0.1,15301396.22,-27.27,-4173108.06,11128288.16
2022-06,180.0,BBHI.JK,0.1,12789597.72,-14.61,-1868143.49,10921454.23
2022-06,180.0,PANI.JK,0.9,115106379.46,-1.94,-2235075.33,112871304.13
2022-07,180.0,PANI.JK,0.9,111413482.52,123.5,137595650.91,249009133.43
2022-07,180.0,PNBN.JK,0.1,12379275.84,12.23,1513453.79,13892729.629999999
2022-08,180.0,ADMR.JK,0.9,236611676.75,-4.72,-11173329.18,225438347.57
2022-08,180.0,PNBN.JK,0.1,26290186.31,7.26,1908158.68,28198344.99
2022-09,180.0,ADMR.JK,0.9,228273023.3,7.46,17035300.25,245308323.55
2022-09,180.0,PNBN.JK,0.1,25363669.26,7.04,1784378.74,27148048.0
2022-10,180.0,ADMR.JK,0.9,245210734.39,-5.21,-12764394.39,232446340.0
2022-10,180.0,PNBN.JK,0.1,27245637.15,11.11,3027293.02,30272930.169999998
2022-11,180.0,PNBN.JK,0.1,26271927.02,-15.18,-3987703.21,22284223.81
2022-11,180.0,RAJA.JK,0.9,236447343.16,4.17,9850308.45,246297651.60999998
2022-12,180.0,PNBN.JK,0.1,26858187.54,-14.44,-3879515.98,22978671.56
2022-12,180.0,RAJA.JK,0.9,241723687.88,1.46,3520270.97,245243958.85
2022-01,365.0,BBHI.JK,0.1,10000000.0,26.72,2671604.07,12671604.07
2022-01,365.0,DCII.JK,0.9,90000000.0,-7.68,-6915789.47,83084210.53
