Period,Lookback_Days,portfolio_risk,stock,weight
2023-01,365,3.1784605803645247,"['BBNI.JK', 'BYAN.JK', 'PNBN.JK']","[0.0, 0.9, 0.1]"
2023-02,365,3.2289916117417565,"['BYAN.JK', 'PNBN.JK']","[0.9, 0.1]"
2023-03,365,4.805609108775476,"['PNBN.JK', 'TMAS.JK']","[0.1, 0.9]"
2023-04,365,4.783214719537884,"['PNBN.JK', 'TMAS.JK']","[0.1, 0.9]"
2023-05,365,4.817335846913059,"['BMRI.JK', 'TMAS.JK']","[0.1, 0.9]"
2023-06,365,3.0645502683153336,"['CHIP.JK', 'NISP.JK']","[0.9, 0.1]"
2023-07,365,3.1837938255888862,"['CHIP.JK', 'NISP.JK']","[0.9, 0.1]"
2023-08,365,3.2958020530783316,"['CHIP.JK', 'NISP.JK']","[0.9, 0.1]"
2023-09,365,20.00000025421715,"['BJBR.JK', 'BNGA.JK', 'CHIP.JK', 'NISP.JK', 'PNBN.JK']","[0.06, 0.0, 0.9, 0.04, 0.0]"
2023-10,365,3.539052362992994,"['CHIP.JK', 'NISP.JK']","[0.9, 0.1]"
2023-11,365,4.2770587639572355,"['BNGA.JK', 'CUAN.JK', 'NISP.JK']","[0.0, 0.9, 0.1]"
2023-12,365,4.4150977375550156,"['BNGA.JK', 'CUAN.JK', 'NISP.JK']","[0.0, 0.9, 0.1]"
