period,datapoints,assets,allocations,allocations_idr,pnl_percentage,pnl_idr,end_of_period_value
2023-01,30.0,BCIC.JK,0.1,10000000.0,-32.8,-3280423.28,96280928.94
2023-01,30.0,EXCL.JK,0.08,8000000.0,5.99,479262.67,96280928.94
2023-01,30.0,SINI.JK,0.82,82000000.0,-1.12,-917910.45,96280928.94
2023-02,30.0,BRIS.JK,0.1,9628092.89,13.01,1252725.84,90272243.94
2023-02,30.0,WINE.JK,0.9,86652836.05,-8.38,-7261410.84,90272243.94
2023-03,30.0,AMAR.JK,0.1,9027224.39,3.38,304973.8,233139233.18
2023-03,30.0,CHIP.JK,0.9,81245019.55,175.47,142562015.44,233139233.18
2023-04,30.0,BBSI.JK,0.0,0.0,0,0.0,256812446.41
2023-04,30.0,BMAS.JK,0.1,23313923.32,-12.5,-2914240.42,256812446.41
2023-04,30.0,CHIP.JK,0.9,209825309.86,12.67,26587453.65,256812446.41
2023-05,30.0,CUAN.JK,0.9,231131201.77,-11.62,-26848573.94,234565714.0
2023-05,30.0,NISP.JK,0.1,25681244.64,17.92,4601841.53,234565714.0
2023-06,30.0,HITS.JK,0.9,211109142.6,0.0,0.0,238227227.58
2023-06,30.0,NISP.JK,0.1,23456571.4,15.61,3661513.58,238227227.58
2023-07,30.0,BBHI.JK,0.1,23822722.76,5.85,1393141.68,311636626.65000004
2023-07,30.0,UNIQ.JK,0.9,214404504.82,33.59,72016257.39,311636626.65000004
2023-08,30.0,ALKA.JK,0.9,280472963.98,-21.56,-60461237.74,246058966.68000004
2023-08,30.0,BNBA.JK,0.1,31163662.67,-16.42,-5116422.23,246058966.68000004
2023-09,30.0,IKBI.JK,0.9,221453070.01,-2.16,-4779562.66,243739993.69000003
2023-09,30.0,NOBU.JK,0.1,24605896.67,10.0,2460589.67,243739993.69000003
2023-10,30.0,NOBU.JK,0.1,24373999.37,-5.19,-1266181.79,242473811.90000004
2023-10,30.0,POLU.JK,0.9,219365994.32,0.0,0.0,242473811.90000004
2023-11,30.0,BBSI.JK,0.1,24247381.19,-6.25,-1515461.32,141556782.66000003
2023-11,30.0,DOOH.JK,0.9,218226430.71,-45.55,-99401567.92,141556782.66000003
2023-12,30.0,ARTO.JK,0.1,14155678.27,-16.91,-2393080.28,105520986.50000003
2023-12,30.0,SOTS.JK,0.9,127401104.39,-26.41,-33642715.88,105520986.50000003
2023-01,60.0,BSIM.JK,0.1,10000000.0,0.0,0.0,98625954.2
2023-01,60.0,SRAJ.JK,0.9,90000000.0,-1.53,-1374045.8,98625954.2
2023-02,60.0,BSIM.JK,0.1,9862595.42,5.29,522137.4,167916973.66000003
2023-02,60.0,SINI.JK,0.9,88763358.78,77.47,68768882.06,167916973.66000003
2023-03,60.0,BRIS.JK,0.1,16791697.37,5.33,894855.35,433993917.59000003
2023-03,60.0,CHIP.JK,0.9,151125276.29,175.47,265182088.58,433993917.59000003
2023-04,60.0,AMAR.JK,0.1,43399391.76,-0.66,-287413.19,483199646.37
2023-04,60.0,BMAS.JK,0.0,0.0,0,-0.0,483199646.37
2023-04,60.0,BRIS.JK,0.0,0.0,0,0.0,483199646.37
2023-04,60.0,CHIP.JK,0.9,390594525.83,12.67,49493141.97,483199646.37
2023-05,60.0,AMAR.JK,0.1,48319964.64,-1.96,-947450.29,491765189.12
2023-05,60.0,BRIS.JK,0.0,0.0,0,0.0,491765189.12
2023-05,60.0,CHIP.JK,0.9,434879681.73,2.19,9512993.04,491765189.12
2023-05,60.0,NISP.JK,0.0,0.0,0,0.0,491765189.12
2023-06,60.0,CHIP.JK,0.9,442588670.21,0.34,1500300.58,500941824.36
2023-06,60.0,NISP.JK,0.1,49176518.91,15.61,7676334.66,500941824.36
2023-07,60.0,FILM.JK,0.9,450847641.92,23.46,105754385.14,607538128.53
2023-07,60.0,NISP.JK,0.1,50094182.44,1.68,841919.03,607538128.53
2023-08,60.0,BNBA.JK,0.1,60753812.85,-16.42,-9974506.59,344422735.04999995
2023-08,60.0,UNIQ.JK,0.9,546784315.68,-46.3,-253140886.89,344422735.04999995
2023-09,60.0,BBHI.JK,0.1,34442273.5,-6.17,-2126066.27,335606442.98999995
2023-09,60.0,IKBI.JK,0.9,309980461.54,-2.16,-6690225.79,335606442.98999995
2023-10,60.0,NOBU.JK,0.1,33560644.3,-5.19,-1743410.09,332483828.34
2023-10,60.0,SGER.JK,0.9,302045798.69,-0.46,-1379204.56,332483828.34
2023-11,60.0,DOOH.JK,0.9,299235445.51,-45.55,-136300962.09,199622354.12999997
2023-11,60.0,NOBU.JK,0.1,33248382.83,10.34,3439487.88,199622354.12999997
2023-12,60.0,ARTO.JK,0.1,19962235.41,-16.91,-3374704.55,284580541.28
2023-12,60.0,CUAN.JK,0.9,179660118.72,49.17,88332891.7,284580541.28
2023-01,90.0,BSIM.JK,0.1,10000000.0,0.0,0.0,98992537.31
2023-01,90.0,SINI.JK,0.9,90000000.0,-1.12,-1007462.69,98992537.31
2023-02,90.0,BSIM.JK,0.1,9899253.73,5.29,524078.14,83116359.27000001
2023-02,90.0,EURO.JK,0.9,89093283.58,-18.41,-16400256.18,83116359.27000001
2023-03,90.0,BSIM.JK,0.1,8311635.93,2.3,191072.09,68921907.64000002
2023-03,90.0,SINI.JK,0.9,74804723.34,-19.23,-14385523.72,68921907.64000002
2023-04,90.0,BMAS.JK,0.1,6892190.76,-12.5,-861523.84,75920313.68000002
2023-04,90.0,BRIS.JK,0.0,0.0,0,0.0,75920313.68000002
2023-04,90.0,CHIP.JK,0.9,62029716.88,12.67,7859929.88,75920313.68000002
2023-05,90.0,BRIS.JK,0.1,7592031.37,2.67,202754.55,77617749.41000003
2023-05,90.0,CHIP.JK,0.9,68328282.31,2.19,1494681.18,77617749.41000003
2023-05,90.0,NISP.JK,0.0,0.0,0,0.0,77617749.41000003
2023-06,90.0,AMAR.JK,0.0,0.0,0,-0.0,79066143.46000002
2023-06,90.0,CHIP.JK,0.9,69855974.47,0.34,236799.91,79066143.46000002
2023-06,90.0,NISP.JK,0.1,7761774.94,15.61,1211594.14,79066143.46000002
2023-07,90.0,CHIP.JK,0.9,71159529.11,6.42,4567672.48,83766700.21000002
2023-07,90.0,NISP.JK,0.1,7906614.35,1.68,132884.27,83766700.21000002
2023-08,90.0,CUAN.JK,0.9,75390030.19,34.72,26173986.74,109317628.85000002
2023-08,90.0,NISP.JK,0.1,8376670.02,-7.44,-623058.1,109317628.85000002
2023-09,90.0,BNBA.JK,0.0,0.0,0,-0.0,140161928.88000003
2023-09,90.0,KAYU.JK,0.9,98385865.97,31.88,31369406.54,140161928.88000003
2023-09,90.0,NISP.JK,0.1,10931762.89,-4.8,-525106.51,140161928.88000003
2023-10,90.0,KAYU.JK,0.9,126145735.99,30.6,38601973.85,178035788.81000003
2023-10,90.0,NOBU.JK,0.1,14016192.89,-5.19,-728113.92,178035788.81000003
2023-11,90.0,CUAN.JK,0.9,160232209.93,67.3,107833999.1,287711537.45000005
2023-11,90.0,NOBU.JK,0.1,17803578.88,10.34,1841749.54,287711537.45000005
2023-12,90.0,CUAN.JK,0.9,258940383.71,49.17,127312355.32,412216950.94000006
2023-12,90.0,NOBU.JK,0.1,28771153.75,-9.76,-2806941.83,412216950.94000006
2023-01,180.0,PNBN.JK,0.1,10000000.0,7.48,748299.32,90654809.51
2023-01,180.0,RAJA.JK,0.9,90000000.0,-11.21,-10093489.81,90654809.51
