Period,Lookback_Days,portfolio_risk,stock,weight,Init_Cap,Weighted_Invest,Return/Loss_Percentage,Cap_Gain/Loss,Final_Cap,portfolio_value
2023-01,60.0,6.414090974721913,"['BSIM.JK', 'SRAJ.JK']","[0.1, 0.9]",100000000.0,"[10000000.0, 90000000.0]","[0.0, -1.53]","[0.0, -1374045.8]",98625954.2,100000000.0
2023-02,60.0,10.224384452575537,"['BSIM.JK', 'SINI.JK']","[0.1, 0.9]",98625954.2,"[9862595.42, 88763358.78]","[5.29, 77.47]","[522137.4, 68768882.06]",167916973.66000003,98625954.2
2023-03,60.0,3.4694802973615397,"['BRIS.JK', 'CHIP.JK']","[0.1, 0.9]",167916973.66000003,"[16791697.37, 151125276.29]","[5.33, 175.47]","[894855.35, 265182088.58]",433993917.59000003,167916973.66000003
2023-04,60.0,4.482192143386446,"['AMAR.JK', 'BMAS.JK', 'BRIS.JK', 'CHIP.JK']","[0.1, 0.0, 0.0, 0.9]",433993917.59000003,"[43399391.76, 0.0, 0.0, 390594525.83]","[-0.66, 0, 0, 12.67]","[-287413.19, -0.0, 0.0, 49493141.97]",483199646.37,433993917.59000003
2023-05,60.0,5.177510603384278,"['AMAR.JK', 'BRIS.JK', 'CHIP.JK', 'NISP.JK']","[0.1, 0.0, 0.9, 0.0]",483199646.37,"[48319964.64, 0.0, 434879681.73, 0.0]","[-1.96, 0, 2.19, 0]","[-947450.29, 0.0, 9512993.04, 0.0]",491765189.12,483199646.37
2023-06,60.0,6.5818976499534205,"['CHIP.JK', 'NISP.JK']","[0.9, 0.1]",491765189.12,"[442588670.21, 49176518.91]","[0.34, 15.61]","[1500300.58, 7676334.66]",500941824.36,491765189.12
2023-07,60.0,8.033413217802568,"['FILM.JK', 'NISP.JK']","[0.9, 0.1]",500941824.36,"[450847641.92, 50094182.44]","[23.46, 1.68]","[105754385.14, 841919.03]",607538128.53,500941824.36
2023-08,60.0,7.009094270264352,"['BNBA.JK', 'UNIQ.JK']","[0.1, 0.9]",607538128.53,"[60753812.85, 546784315.68]","[-16.42, -46.3]","[-9974506.59, -253140886.89]",344422735.04999995,607538128.53
2023-09,60.0,7.456913942778804,"['BBHI.JK', 'IKBI.JK']","[0.1, 0.9]",344422735.04999995,"[34442273.5, 309980461.54]","[-6.17, -2.16]","[-2126066.27, -6690225.79]",335606442.98999995,344422735.04999995
2023-10,60.0,4.500090042309404,"['NOBU.JK', 'SGER.JK']","[0.1, 0.9]",335606442.98999995,"[33560644.3, 302045798.69]","[-5.19, -0.46]","[-1743410.09, -1379204.56]",332483828.34,335606442.98999995
2023-11,60.0,7.420994822283525,"['DOOH.JK', 'NOBU.JK']","[0.9, 0.1]",332483828.34,"[299235445.51, 33248382.83]","[-45.55, 10.34]","[-136300962.09, 3439487.88]",199622354.12999997,332483828.34
2023-12,60.0,5.788680125140521,"['ARTO.JK', 'CUAN.JK']","[0.1, 0.9]",199622354.12999997,"[19962235.41, 179660118.72]","[-16.91, 49.17]","[-3374704.55, 88332891.7]",284580541.28,199622354.12999997
2024-01,,,,,,,,,,284580541.28
