period,datapoints,assets,allocations,allocations_idr,pnl_percentage,pnl_idr,end_of_period_value
2023-01,30.0,BCIC.JK,0.1,10000000.0,-32.8,-3280423.28,6719576.720000001
2023-01,30.0,EXCL.JK,0.08,8000000.0,5.99,479262.67,8479262.67
2023-01,30.0,SINI.JK,0.82,82000000.0,-1.12,-917910.45,81082089.55
2023-02,30.0,BRIS.JK,0.1,9628092.89,13.01,1252725.84,10880818.73
2023-02,30.0,WINE.JK,0.9,86652836.05,-8.38,-7261410.84,79391425.21
2023-03,30.0,AMAR.JK,0.1,9027224.39,3.38,304973.8,9332198.190000001
2023-03,30.0,CHIP.JK,0.9,81245019.55,175.47,142562015.44,223807034.99
2023-04,30.0,BBSI.JK,0.0,0.0,0,0.0,0.0
2023-04,30.0,BMAS.JK,0.1,23313923.32,-12.5,-2914240.42,20399682.9
2023-04,30.0,CHIP.JK,0.9,209825309.86,12.67,26587453.65,236412763.51000002
2023-05,30.0,CUAN.JK,0.9,231131201.77,-11.62,-26848573.94,204282627.83
2023-05,30.0,NISP.JK,0.1,25681244.64,17.92,4601841.53,30283086.17
2023-06,30.0,HITS.JK,0.9,211109142.6,0.0,0.0,211109142.6
2023-06,30.0,NISP.JK,0.1,23456571.4,15.61,3661513.58,27118084.979999997
2023-07,30.0,BBHI.JK,0.1,23822722.76,5.85,1393141.68,25215864.44
2023-07,30.0,UNIQ.JK,0.9,214404504.82,33.59,72016257.39,286420762.21
2023-08,30.0,ALKA.JK,0.9,280472963.98,-21.56,-60461237.74,220011726.24
2023-08,30.0,BNBA.JK,0.1,31163662.67,-16.42,-5116422.23,26047240.44
2023-09,30.0,IKBI.JK,0.9,221453070.01,-2.16,-4779562.66,216673507.35
2023-09,30.0,NOBU.JK,0.1,24605896.67,10.0,2460589.67,27066486.340000004
2023-10,30.0,NOBU.JK,0.1,24373999.37,-5.19,-1266181.79,23107817.580000002
2023-10,30.0,POLU.JK,0.9,219365994.32,0.0,0.0,219365994.32
2023-11,30.0,BBSI.JK,0.1,24247381.19,-6.25,-1515461.32,22731919.87
2023-11,30.0,DOOH.JK,0.9,218226430.71,-45.55,-99401567.92,118824862.79
2023-12,30.0,ARTO.JK,0.1,14155678.27,-16.91,-2393080.28,11762597.99
2023-12,30.0,SOTS.JK,0.9,127401104.39,-26.41,-33642715.88,93758388.50999999
2023-01,60.0,BSIM.JK,0.1,10000000.0,0.0,0.0,10000000.0
2023-01,60.0,SRAJ.JK,0.9,90000000.0,-1.53,-1374045.8,88625954.2
2023-02,60.0,BSIM.JK,0.1,9862595.42,5.29,522137.4,10384732.82
2023-02,60.0,SINI.JK,0.9,88763358.78,77.47,68768882.06,157532240.84
2023-03,60.0,BRIS.JK,0.1,16791697.37,5.33,894855.35,17686552.720000003
2023-03,60.0,CHIP.JK,0.9,151125276.29,175.47,265182088.58,416307364.87
2023-04,60.0,AMAR.JK,0.1,43399391.76,-0.66,-287413.19,43111978.57
2023-04,60.0,BMAS.JK,0.0,0.0,0,-0.0,0.0
2023-04,60.0,BRIS.JK,0.0,0.0,0,0.0,0.0
2023-04,60.0,CHIP.JK,0.9,390594525.83,12.67,49493141.97,440087667.79999995
2023-05,60.0,AMAR.JK,0.1,48319964.64,-1.96,-947450.29,47372514.35
2023-05,60.0,BRIS.JK,0.0,0.0,0,0.0,0.0
2023-05,60.0,CHIP.JK,0.9,434879681.73,2.19,9512993.04,444392674.77000004
2023-05,60.0,NISP.JK,0.0,0.0,0,0.0,0.0
2023-06,60.0,CHIP.JK,0.9,442588670.21,0.34,1500300.58,444088970.78999996
2023-06,60.0,NISP.JK,0.1,49176518.91,15.61,7676334.66,56852853.56999999
2023-07,60.0,FILM.JK,0.9,450847641.92,23.46,105754385.14,556602027.0600001
2023-07,60.0,NISP.JK,0.1,50094182.44,1.68,841919.03,50936101.47
2023-08,60.0,BNBA.JK,0.1,60753812.85,-16.42,-9974506.59,50779306.260000005
2023-08,60.0,UNIQ.JK,0.9,546784315.68,-46.3,-253140886.89,293643428.78999996
