ticker,month,monthly_return_percentage
PJAA.JK,2023-01,-2.8166539790361314
PJAA.JK,2023-02,-1.4491443721378652
PJAA.JK,2023-03,0.0
PJAA.JK,2023-04,1.428444154070027
PJAA.JK,2023-05,2.5541527502529138
PJAA.JK,2023-06,5.333333333333334
PJAA.JK,2023-07,5.590062111801243
PJAA.JK,2023-08,-1.7543859649122806
PJAA.JK,2023-09,-2.9940119760479043
PJAA.JK,2023-10,16.049382716049383
PJAA.JK,2023-11,2.1621621621621623
PJAA.JK,2023-12,0.5291005291005291
BEKS.JK,2023-01,0.0
BEKS.JK,2023-02,0.0
BEKS.JK,2023-03,0.0
BEKS.JK,2023-04,0.0
BEKS.JK,2023-05,0.0
BEKS.JK,2023-06,0.0
BEKS.JK,2023-07,0.0
BEKS.JK,2023-08,0.0
BEKS.JK,2023-09,0.0
BEKS.JK,2023-10,0.0
BEKS.JK,2023-11,0.0
BEKS.JK,2023-12,0.0
BKSL.JK,2023-01,0.0
BKSL.JK,2023-02,0.0
BKSL.JK,2023-03,0.0
BKSL.JK,2023-04,0.0
BKSL.JK,2023-05,0.0
BKSL.JK,2023-06,0.0
BKSL.JK,2023-07,0.0
BKSL.JK,2023-08,10.0
BKSL.JK,2023-09,-7.4074074074074066
BKSL.JK,2023-10,-1.9607843137254901
BKSL.JK,2023-11,0.0
BKSL.JK,2023-12,0.0
BLTA.JK,2023-01,0.0
BLTA.JK,2023-02,0.0
BLTA.JK,2023-03,0.0
BLTA.JK,2023-04,0.0
BLTA.JK,2023-05,0.0
BLTA.JK,2023-06,0.0
BLTA.JK,2023-07,0.0
BLTA.JK,2023-08,0.0
BLTA.JK,2023-09,0.0
BLTA.JK,2023-10,0.0
BLTA.JK,2023-11,0.0
BLTA.JK,2023-12,0.0
BTEK.JK,2023-01,0.0
BTEK.JK,2023-02,0.0
BTEK.JK,2023-03,0.0
BTEK.JK,2023-04,0.0
BTEK.JK,2023-05,0.0
BTEK.JK,2023-06,0.0
BTEK.JK,2023-07,0.0
BTEK.JK,2023-08,0.0
BTEK.JK,2023-09,0.0
BTEK.JK,2023-10,0.0
BTEK.JK,2023-11,0.0
BTEK.JK,2023-12,0.0
BTEL.JK,2023-01,0.0
BTEL.JK,2023-02,0.0
BTEL.JK,2023-03,0.0
BTEL.JK,2023-04,0.0
BTEL.JK,2023-05,0.0
BTEL.JK,2023-06,0.0
BTEL.JK,2023-07,0.0
BTEL.JK,2023-08,0.0
BTEL.JK,2023-09,0.0
BTEL.JK,2023-10,0.0
BTEL.JK,2023-11,0.0
BTEL.JK,2023-12,0.0
CBMF.JK,2023-01,0.0
CBMF.JK,2023-02,0.0
CBMF.JK,2023-03,0.0
CBMF.JK,2023-04,0.0
CBMF.JK,2023-05,0.0
CBMF.JK,2023-06,0.0
CBMF.JK,2023-07,0.0
CBMF.JK,2023-08,0.0
CBMF.JK,2023-09,0.0
CBMF.JK,2023-10,0.0
CBMF.JK,2023-11,0.0
CBMF.JK,2023-12,0.0
CNKO.JK,2023-01,0.0
CNKO.JK,2023-02,0.0
CNKO.JK,2023-03,0.0
CNKO.JK,2023-04,0.0
CNKO.JK,2023-05,0.0
CNKO.JK,2023-06,0.0
CNKO.JK,2023-07,0.0
CNKO.JK,2023-08,0.0
CNKO.JK,2023-09,0.0
CNKO.JK,2023-10,0.0
CNKO.JK,2023-11,0.0
CNKO.JK,2023-12,0.0
BAPI.JK,2023-01,0.0
BAPI.JK,2023-02,0.0
BAPI.JK,2023-03,0.0
BAPI.JK,2023-04,0.0
BAPI.JK,2023-05,0.0
BAPI.JK,2023-06,0.0
BAPI.JK,2023-07,0.0
