ticker,industry
AALI.JK,Farm Products
ABBA.JK,Publishing
ABDA.JK,Insurance - Property & Casualty
ABMM.JK,Thermal Coal
ACES.JK,Specialty Retail
ACST.JK,Engineering & Construction
ADCP.JK,Real Estate - Development
ADES.JK,Beverages - Non-Alcoholic
ADHI.JK,Engineering & Construction
ADMF.JK,Credit Services
ADMG.JK,Specialty Chemicals
ADMR.JK,Thermal Coal
ADRO.JK,Thermal Coal
AEGS.JK,Auto Parts
AGAR.JK,Farm Products
AGII.JK,Chemicals
AGRO.JK,Banks - Regional
AGRS.JK,Banks - Regional
AHAP.JK,Insurance - Property & Casualty
AIMS.JK,Thermal Coal
AISA.JK,Packaged Foods
AKKU.JK,Lodging
AKPI.JK,Packaging & Containers
AKRA.JK,Oil & Gas Refining & Marketing
AKSI.JK,Rental & Leasing Services
ALDO.JK,Paper & Paper Products
ALKA.JK,Aluminum
ALMI.JK,Aluminum
ALTO.JK,Beverages - Non-Alcoholic
AMAG.JK,Insurance - Diversified
AMAN.JK,Real Estate - Development
AMAR.JK,Banks - Regional
AMFG.JK,Building Products & Equipment
AMIN.JK,Specialty Industrial Machinery
AMMN.JK,Other Precious Metals & Mining
AMMS.JK,Farm Products
AMOR.JK,Asset Management
AMRT.JK,Grocery Stores
ANDI.JK,Farm Products
ANJT.JK,Farm Products
ANTM.JK,Gold
APEX.JK,Oil & Gas Drilling
APIC.JK,Insurance - Life
APII.JK,Tools & Accessories
APLI.JK,Packaging & Containers
APLN.JK,Real Estate - Development
ARCI.JK,Gold
ARGO.JK,Textile Manufacturing
ARII.JK,Thermal Coal
ARKA.JK,Specialty Business Services
ARKO.JK,Utilities - Renewable
ARMY.JK,
ARNA.JK,Building Products & Equipment
ARTA.JK,Lodging
ARTI.JK,Oil & Gas Equipment & Services
ARTO.JK,Banks - Regional
ASBI.JK,Insurance - Diversified
ASDM.JK,Insurance - Property & Casualty
ASGR.JK,Specialty Business Services
ASHA.JK,Farm Products
ASII.JK,Auto Parts
ASII.JK,Conglomerates
ASJT.JK,Insurance - Property & Casualty
ASLC.JK,Auto & Truck Dealerships
ASMI.JK,Insurance - Diversified
ASPI.JK,Residential Construction
ASRI.JK,Real Estate - Development
ASRM.JK,Insurance - Property & Casualty
ASSA.JK,Rental & Leasing Services
ATAP.JK,Residential Construction
ATIC.JK,Information Technology Services
AUTO.JK,Auto Parts
AVIA.JK,Specialty Chemicals
AWAN.JK,Internet Content & Information
AXIO.JK,Computer Hardware
AYLS.JK,Food Distribution
BABP.JK,Banks - Regional
BABY.JK,Apparel Retail
BACA.JK,Banks - Regional
BAJA.JK,Steel
BALI.JK,Telecom Services
BANK.JK,Banks - Regional
BAPA.JK,Real Estate - Development
BAPI.JK,Real Estate - Development
BATA.JK,Footwear & Accessories
BAUT.JK,Tools & Accessories
BAYU.JK,Travel Services
BBCA.JK,Banks - Regional
BBHI.JK,Banks - Regional
BBKP.JK,Banks - Regional
BBLD.JK,Credit Services
BBMD.JK,Banks - Regional
BBNI.JK,Banks - Regional
BBRI.JK,Banks - Regional
BBRM.JK,Marine Shipping
BBSI.JK,Banks - Regional
BBSS.JK,Engineering & Construction
BBTN.JK,Banks - Regional
BBYB.JK,Banks - Regional
BCAP.JK,Capital Markets
BCIC.JK,Banks - Regional
BCIP.JK,Real Estate - Development
BDKR.JK,Engineering & Construction
BDMN.JK,Banks - Regional
BEBS.JK,Building Materials
BEEF.JK,Packaged Foods
BEER.JK,Beverages - Wineries & Distilleries
BEKS.JK,Banks - Regional
BELI.JK,Internet Retail
BELL.JK,Textile Manufacturing
BESS.JK,Marine Shipping
BEST.JK,Real Estate Services
BFIN.JK,Credit Services
BGTG.JK,Banks - Regional
BHAT.JK,Insurance - Life
BHIT.JK,Entertainment
BIKA.JK,Real Estate - Development
BIKE.JK,Leisure
BIMA.JK,Footwear & Accessories
BINA.JK,Banks - Regional
BINO.JK,Business Equipment & Supplies
BIPI.JK,Infrastructure Operations
BIPP.JK,Real Estate - Diversified
BIRD.JK,Railroads
