Month,Lookback_Days,total_expected_return,portfolio_risk,stock,weight,allocations
2023-01,365,1312.3955208890438,3.118387571877641,"['BBNI.JK', 'BMRI.JK', 'BYAN.JK', 'PNBN.JK']","[0.0, 0.0, 0.9, 0.1]","BBNI.JK: 0.00%, BMRI.JK: 0.00%, BYAN.JK: 0.90%, PNBN.JK: 0.10%"
2023-02,365,1126.2564102564102,3.1715622931092065,"['BYAN.JK', 'PNBN.JK']","[0.9, 0.1]","BYAN.JK: 0.90%, PNBN.JK: 0.10%"
2023-03,365,1215.2152360644748,4.71798835782086,"['PNBN.JK', 'TMAS.JK']","[0.1, 0.9]","PNBN.JK: 0.10%, TMAS.JK: 0.90%"
2023-04,365,967.2458122321776,4.68359831509394,"['PNBN.JK', 'TMAS.JK']","[0.1, 0.9]","PNBN.JK: 0.10%, TMAS.JK: 0.90%"
2023-05,365,911.656103906703,4.698764485005708,"['BMRI.JK', 'TMAS.JK']","[0.1, 0.9]","BMRI.JK: 0.10%, TMAS.JK: 0.90%"
2023-06,365,752.8661207086706,2.9828977344523726,"['BNGA.JK', 'CHIP.JK', 'NISP.JK']","[0.0, 0.9, 0.1]","BNGA.JK: 0.00%, CHIP.JK: 0.90%, NISP.JK: 0.10%"
2023-07,365,676.6143729307778,3.0869172109277545,"['CHIP.JK', 'NISP.JK']","[0.9, 0.1]","CHIP.JK: 0.90%, NISP.JK: 0.10%"
2023-08,365,726.905014866044,3.191542410065103,"['CHIP.JK', 'NISP.JK']","[0.9, 0.1]","CHIP.JK: 0.90%, NISP.JK: 0.10%"
2023-09,365,1096.9571910250338,19.99999996201873,"['BJBR.JK', 'CHIP.JK', 'NISP.JK']","[0.06, 0.9, 0.04]","BJBR.JK: 0.06%, CHIP.JK: 0.90%, NISP.JK: 0.04%"
2023-10,365,956.5552917232022,3.4273632826583946,"['CHIP.JK', 'NISP.JK']","[0.9, 0.1]","CHIP.JK: 0.90%, NISP.JK: 0.10%"
2023-11,365,1692.3525516502157,4.178948487026796,"['BNGA.JK', 'CUAN.JK', 'NISP.JK']","[0.0, 0.9, 0.1]","BNGA.JK: 0.00%, CUAN.JK: 0.90%, NISP.JK: 0.10%"
2023-12,365,2818.695196383651,4.3199814969581505,"['BNGA.JK', 'CUAN.JK', 'NISP.JK']","[0.0, 0.9, 0.1]","BNGA.JK: 0.00%, CUAN.JK: 0.90%, NISP.JK: 0.10%"
