Month,Lookback_Days,total_expected_return,portfolio_risk,stock,weight,allocations
2023-01,60,309.0502823053159,6.368496700852523,"['BSIM.JK', 'SRAJ.JK']","[0.1, 0.9]","BSIM.JK: 0.10%, SRAJ.JK: 0.90%"
2023-02,60,497.4375090139025,10.000848684097148,"['BSIM.JK', 'SINI.JK']","[0.1, 0.9]","BSIM.JK: 0.10%, SINI.JK: 0.90%"
2023-03,60,160.5573080511602,3.4026750178408975,"['BRIS.JK', 'CHIP.JK']","[0.1, 0.9]","BRIS.JK: 0.10%, CHIP.JK: 0.90%"
2023-04,60,659.8952569169961,4.433621959064214,"['AMAR.JK', 'CHIP.JK']","[0.1, 0.9]","AMAR.JK: 0.10%, CHIP.JK: 0.90%"
2023-05,60,754.013544105887,5.0434912186988745,"['AMAR.JK', 'BRIS.JK', 'CHIP.JK', 'NISP.JK']","[0.1, 0.0, 0.9, 0.0]","AMAR.JK: 0.10%, BRIS.JK: 0.00%, CHIP.JK: 0.90%, NISP.JK: 0.00%"
2023-06,60,315.9182400871999,6.228749496566762,"['CHIP.JK', 'NISP.JK']","[0.9, 0.1]","CHIP.JK: 0.90%, NISP.JK: 0.10%"
2023-07,60,382.31643008467597,7.493236348466375,"['FILM.JK', 'NISP.JK']","[0.9, 0.1]","FILM.JK: 0.90%, NISP.JK: 0.10%"
2023-08,60,248.77891156462582,6.7082059171824335,"['BNBA.JK', 'UNIQ.JK']","[0.1, 0.9]","BNBA.JK: 0.10%, UNIQ.JK: 0.90%"
2023-09,60,224.55182072829132,7.181108330568047,"['BBHI.JK', 'IKBI.JK']","[0.1, 0.9]","BBHI.JK: 0.10%, IKBI.JK: 0.90%"
2023-10,60,300.3562888570062,4.419513368625596,"['NOBU.JK', 'SGER.JK']","[0.1, 0.9]","NOBU.JK: 0.10%, SGER.JK: 0.90%"
2023-11,60,281.4695459171786,7.3101711655993915,"['DOOH.JK', 'NOBU.JK']","[0.9, 0.1]","DOOH.JK: 0.90%, NOBU.JK: 0.10%"
2023-12,60,244.91129912663754,5.74678650165334,"['ARTO.JK', 'CUAN.JK']","[0.1, 0.9]","ARTO.JK: 0.10%, CUAN.JK: 0.90%"
